artists,explicit,id,name,played_at
Pendulum,False,4Y2glvLjQGOb4dXnwm1hQf,Witchcraft,2018-11-11T03:27:37.609Z
Owl City,False,0vCTQcxSGAgjHaiAsIANKn,Vanilla Twilight,2018-11-11T03:24:04.196Z
RADWIMPS,False,5mEqD00bdFcsiVd0MfvEeF,Dream lantern,2018-11-11T03:18:21.158Z
Alan Walker,False,0JiVRyTJcJnmlwCZ854K4p,Alone,2018-11-11T03:16:09.041Z
RADWIMPS,False,6RM5WJcShIHsxrja11M1iK,Nandemonaiya - movie edit.,2018-11-11T03:13:08.775Z
Cage The Elephant,False,5n0CTysih20NYdT2S0Wpe8,Trouble,2018-11-11T02:59:59.280Z
Panic! At The Disco,False,2DgdHcjWmO3qd50RzuBLgZ,House Of Memories,2018-11-11T02:56:12.752Z
Ariana Grande,True,14kYOiFVPb7E7NfFbqhdln,goodnight n go,2018-11-11T02:52:27.723Z
"Alan Walker, David Whistle",False,19TSNGmvdTtlxYn4YqYUMf,Routine,2018-11-11T00:52:58.958Z
Lily Allen,False,2fcFWA4AeNcbCTut4o4fn4,Who'd Have Known,2018-11-11T00:51:33.662Z
"JR JR, Daniel Zott, Joshua Epstein",False,6RAmJEbBMGLVg50EpWWBzc,Beautiful Dream,2018-11-11T00:44:11.669Z
Chaos Chaos,False,3lOok0REf4j3790abX26PR,Do You Feel It?,2018-11-11T00:39:42.394Z
Meine Meinung,False,6MahbsQxjzKfJ6mkkYXaHi,ARRIETTY'S SONG,2018-11-11T00:35:31.257Z
Kleeer,False,2F977UPPZeXQdDMJ7JXpIm,Intimate Connection,2018-11-11T00:24:45.697Z
Kyle Dixon & Michael Stein,False,2CDadIgdJPJfYxFhkQ7vBa,First Kiss,2018-11-11T00:19:59.972Z
The Dear Hunter,False,0VgWaVNJdZPhgYpXZaQAr0,All Is as All Should Be,2018-11-11T00:18:13.211Z
Plini,False,1zlxp9YCLz48oxt9ynuWOR,The End of Everything,2018-11-11T00:14:25.317Z
The Dear Hunter,False,4EgznqHArk5RRgW269eoIx,Shake Me (Awake),2018-11-11T00:10:16.109Z
Pendulum,False,1kvnmJ67M3ByVx4y3ou2iP,Showdown,2018-11-11T20:25:32.637Z
Pentatonix,False,4z8sz6E4YyFuEkv5o7IJni,"Mary, Did You Know?",2018-11-11T20:12:52.809Z
"The Glitch Mob, joe trapanese",False,60RbdDuYTGq8LrauX6kpa4,Can't Kill Us - Joe Trapanese Remix,2018-11-11T20:09:30.197Z
The Glitch Mob,False,4c9FIjxXYYEyD9iH02fvbu,Animus Vox,2018-11-11T19:43:19.912Z
The Glitch Mob,False,48n92l7OnLEURhalUBtsl7,We Can Make The World Stop,2018-11-11T19:36:35.495Z
Jonas Brothers,False,72jGj8k9C7DIQesDYenUT3,Burnin' Up,2018-11-11T22:38:15.774Z
Infected Mushroom,False,7IBDh9A9cn4hjrpX4Zzb08,Milosh,2018-11-11T22:35:20.438Z
Infected Mushroom,False,2NRFvNVeJ7GVQ46WW8lUbx,Saeed,2018-11-11T22:24:29.940Z
"Lights Follow, Matthew Heath, Grady Griggs",False,5WBxAaS9nNnWTH469p0Ht0,Slow Down (feat. Matthew Heath & Grady Griggs),2018-11-11T22:17:26.961Z
Infected Mushroom,False,1n3zxreoEYtfbqxw9dKGM1,Where Do I Belong,2018-11-11T22:14:29.453Z
David Heartbreak,False,6RBdbgLbOwDZ01OuMzsckx,Rose Colored Bass - Bassnectar Remix,2018-11-11T22:11:02.508Z
"Bassnectar, W. Darling",False,3x94KfC5QAsqFKjUGQBH4k,You & Me (feat. W. Darling),2018-11-11T22:07:19.054Z
"Bassnectar, Seth Drake",False,7vFQliBjsAIfpteEzYOCOS,F.U.N.,2018-11-11T22:03:15.705Z
